"geneid"	"genename"	"description"	"meanExpression"	"lfc"	"fdr"	"se"	"DE"
"ENSG00000203812"	"HIST2H2AA3"	"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]"	59.3801403015948	9.04443236640882	4.53827830982262e-05	1.9324203652038	"upregulated"
"ENSG00000164303"	"ENPP6"	"ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:HGNC Symbol;Acc:HGNC:23409]"	55.1189482797484	7.88268765430471	1.44305403674016e-11	1.07343567534022	"upregulated"
"ENSG00000112164"	"GLP1R"	"glucagon like peptide 1 receptor [Source:HGNC Symbol;Acc:HGNC:4324]"	17.4955944527683	7.35899496436507	7.69212843684607e-06	1.45041338721833	"upregulated"
"ENSG00000104055"	"TGM5"	"transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]"	45.1819230774295	6.91416870981033	1.07169317354896e-07	1.1693033272712	"upregulated"
"ENSG00000174576"	"NPAS4"	"neuronal PAS domain protein 4 [Source:HGNC Symbol;Acc:HGNC:18983]"	11.83212243863	6.76092302561718	0.000197265527791448	1.56336640820058	"upregulated"
"ENSG00000128683"	"GAD1"	"glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]"	66.6505042694067	6.69526397304263	4.52777898800962e-14	0.824066482982415	"upregulated"
"ENSG00000166920"	"C15orf48"	"chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]"	16.7537527373471	6.18039595814852	0.000106146056906469	1.38072349365939	"upregulated"
"ENSG00000128342"	"LIF"	"LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]"	4361.2508845123	5.90600094907861	4.28224374570426e-17	0.657017966443822	"upregulated"
"ENSG00000114805"	"PLCH1"	"phospholipase C eta 1 [Source:HGNC Symbol;Acc:HGNC:29185]"	9.71665035741711	5.69501873080856	0.00313764576986508	1.60728844621731	"upregulated"
"ENSG00000163814"	"CDCP1"	"CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]"	558.521284698859	5.59555748687105	4.81053485463123e-86	0.277764484824745	"upregulated"
"ENSG00000249992"	"TMEM158"	"transmembrane protein 158 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30293]"	38.5013187895956	5.353137082079	1.16188781021642e-07	0.907818271928843	"upregulated"
"ENSG00000285238"	"AC006064.6"	"novel transcript"	308.508423898763	5.30691626869937	0.0382717577752141	2.01960351233376	"upregulated"
"ENSG00000287427"	"AL390236.1"	"novel transcript, antisense to PTPRE"	10.0302294353781	5.26920707704042	0.00441112578070244	1.5356697639526	"upregulated"
"ENSG00000233705"	"SLC26A4-AS1"	"SLC26A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:22385]"	9.47481600720214	5.23124026912715	0.00591094225733088	1.56721154524627	"upregulated"
"ENSG00000138772"	"ANXA3"	"annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]"	20.8629823991509	5.22512781401424	0.000414583243491839	1.26590601174015	"upregulated"
"ENSG00000181649"	"PHLDA2"	"pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]"	12.2491788833788	5.19946919797372	0.00230196572876849	1.42775606537987	"upregulated"
"ENSG00000272398"	"CD24"	"CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]"	65.0388151494547	5.05853338305011	4.92734313986391e-13	0.647619533478352	"upregulated"
"ENSG00000134531"	"EMP1"	"epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]"	255.300563704416	4.96759446045335	0.000107354942764466	1.11060680450182	"upregulated"
"ENSG00000171388"	"APLN"	"apelin [Source:HGNC Symbol;Acc:HGNC:16665]"	11.5054723023526	4.90786630957884	0.00431700892554617	1.42752485640609	"upregulated"
"ENSG00000170425"	"ADORA2B"	"adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]"	10.4186893332854	4.84245870408935	0.00490582500091119	1.4248087695018	"upregulated"
"ENSG00000265313"	"LINC01476"	"long intergenic non-protein coding RNA 1476 [Source:HGNC Symbol;Acc:HGNC:51117]"	10.229062967349	4.76315447990731	0.00890030191938778	1.49016983459551	"upregulated"
"ENSG00000175264"	"CHST1"	"carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969]"	27.7913537972825	4.68874817061934	1.00703939381985e-05	0.934756770770605	"upregulated"
"ENSG00000186714"	"CCDC73"	"coiled-coil domain containing 73 [Source:HGNC Symbol;Acc:HGNC:23261]"	29.0056659450059	4.68756639300399	2.91490939609519e-06	0.888109621349333	"upregulated"
"ENSG00000111961"	"SASH1"	"SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]"	64.2003807484021	4.64504116158852	2.14140373226383e-11	0.637441731170539	"upregulated"
"ENSG00000113749"	"HRH2"	"histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]"	1000.32376209886	4.55924733674756	2.7657511849401e-84	0.22900854902934	"upregulated"
"ENSG00000171246"	"NPTX1"	"neuronal pentraxin 1 [Source:HGNC Symbol;Acc:HGNC:7952]"	586.791307496288	4.5173731838864	2.90966385272731e-75	0.240059432051521	"upregulated"
"ENSG00000112414"	"ADGRG6"	"adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841]"	9.67004357347847	4.50532711039171	0.0134267733016816	1.47834828722142	"upregulated"
"ENSG00000271605"	"MILR1"	"mast cell immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:27570]"	58.7561050865501	4.38705767731691	2.2353063185459e-10	0.632128463459075	"upregulated"
"ENSG00000237624"	"OXCT2P1"	"3-oxoacid CoA-transferase 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21627]"	10.3238272882071	4.37751113050035	0.017343273130533	1.48469285618972	"upregulated"
"ENSG00000099985"	"OSM"	"oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]"	993.721611332978	4.33479256280396	1.59492675506034e-72	0.234757298118361	"upregulated"
"ENSG00000132613"	"MTSS2"	"MTSS I-BAR domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25094]"	331.638514927489	-3.43446926660591	8.04704164445491e-28	0.299003969163348	"downregulated"
"ENSG00000203710"	"CR1"	"complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]"	80.5846539191306	-3.45975194519981	6.03577729405538e-08	0.575080964917759	"downregulated"
"ENSG00000101115"	"SALL4"	"spalt like transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:15924]"	22.1487147606576	-3.49574415918964	0.0104615185689869	1.11356023745338	"downregulated"
"ENSG00000235007"	"AL161785.2"	"novel transcript"	9.56312054026542	-3.53495320046471	0.0352641844236658	1.32678616171679	"downregulated"
"ENSG00000146555"	"SDK1"	"sidekick cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:19307]"	12.5195073526921	-3.55502103616946	0.0132670174193443	1.16502245536165	"downregulated"
"ENSG00000133962"	"CATSPERB"	"cation channel sperm associated auxiliary subunit beta [Source:HGNC Symbol;Acc:HGNC:20500]"	53.7506693120874	-3.61921684340569	1.06174172012087e-09	0.540547741215726	"downregulated"
"ENSG00000285708"	"AC097634.4"	"novel protein"	83.0832618354052	-3.6828158004308	0.0311518454348606	1.35600179427945	"downregulated"
